,pair_id,ind_div,geog_dist,ind1,ind2
0,"(0, 0)",9.95e-06,0.0,tsk_0,tsk_tsk_0
1,"(0, 1)",1.2515e-05,inf,tsk_0,tsk_tsk_1
2,"(0, 2)",9.06e-06,inf,tsk_0,tsk_tsk_2
3,"(0, 3)",3.114e-05,inf,tsk_0,tsk_tsk_3
4,"(0, 4)",8.785e-06,inf,tsk_0,tsk_tsk_4
5,"(0, 5)",9.67e-06,inf,tsk_0,tsk_tsk_5
6,"(0, 6)",2.535e-05,inf,tsk_0,tsk_tsk_6
7,"(0, 7)",2.535e-05,inf,tsk_0,tsk_tsk_7
8,"(0, 8)",1.0835e-05,inf,tsk_0,tsk_tsk_8
9,"(0, 9)",1.906e-05,inf,tsk_0,tsk_tsk_9
10,"(0, 10)",2.579e-05,inf,tsk_0,tsk_tsk_10
11,"(0, 11)",3.1055e-05,inf,tsk_0,tsk_tsk_11
12,"(0, 12)",2.8235e-05,inf,tsk_0,tsk_tsk_12
13,"(0, 13)",2.9705e-05,inf,tsk_0,tsk_tsk_13
14,"(0, 14)",2.5305e-05,inf,tsk_0,tsk_tsk_14
15,"(0, 15)",1.239e-05,inf,tsk_0,tsk_tsk_15
16,"(0, 16)",4.975e-06,0.0,tsk_0,tsk_tsk_16
17,"(0, 17)",2.6575e-05,inf,tsk_0,tsk_tsk_17
18,"(0, 18)",1.02e-05,inf,tsk_0,tsk_tsk_18
19,"(0, 19)",8.525e-06,inf,tsk_0,tsk_tsk_19
20,"(0, 20)",2.742e-05,inf,tsk_0,tsk_tsk_20
21,"(0, 21)",9.08e-06,inf,tsk_0,tsk_tsk_21
22,"(0, 22)",3.038e-05,inf,tsk_0,tsk_tsk_22
23,"(0, 23)",3.1055e-05,inf,tsk_0,tsk_tsk_23
24,"(0, 24)",9.345e-06,inf,tsk_0,tsk_tsk_24
25,"(0, 25)",2.6485e-05,inf,tsk_0,tsk_tsk_25
26,"(0, 26)",1.879e-05,inf,tsk_0,tsk_tsk_26
27,"(0, 27)",2.8295e-05,inf,tsk_0,tsk_tsk_27
28,"(0, 28)",1.112e-05,inf,tsk_0,tsk_tsk_28
29,"(0, 29)",9.925e-06,inf,tsk_0,tsk_tsk_29
30,"(0, 30)",1.126e-05,inf,tsk_0,tsk_tsk_30
31,"(0, 31)",1.1935e-05,inf,tsk_0,tsk_tsk_31
32,"(0, 32)",9.345e-06,inf,tsk_0,tsk_tsk_32
33,"(0, 33)",1.934e-05,inf,tsk_0,tsk_tsk_33
