,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
0,83,83,0.0,3.063e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,14.342828722166601,9.181293186853802,0.0,83,now,pretx,now
1,83,40,32653999.00000065,2.8345e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,now
2,40,40,0.0,1.802e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,now
3,83,182,2.8078596631945887,1.7475e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,17.097630465753955,9.72456406010517,0.0,182,now,pretx,now
4,40,182,32653999.000000596,2.863e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,17.097630465753955,9.72456406010517,0.0,182,now,pretx,now
5,182,182,0.0,1e-07,17.097630465753955,9.72456406010517,0.0,182,now,pretx,17.097630465753955,9.72456406010517,0.0,182,now,pretx,now
6,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
7,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
8,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
9,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
10,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
11,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
12,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
13,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
14,83,31,12469833.000000278,1.8185e-05,14.342828722166601,9.181293186853802,0.0,83,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
15,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
16,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
